AddressId,Date,Description,Amount
101,09.12.2011,Kauf Anteilsscheine,200
102,21.12.2011,Kauf Anteilsscheine,10000
102,01.02.2015,Übertrag Anteile je 2'500.- an Samira und Sandra,-5000
107,29.11.2011,Kauf Anteilsscheine,4000
108,18.12.2011,Kauf Anteilsscheine,5000
109,08.12.2011,Kauf Anteilsscheine,1000
109,30.08.2019,Verkauf Anteilsscheine,-2000
110,01.01.2018,Verkauf Anteilsscheine,-2100
138,31.12.2016,Verkauf Anteilsscheine,-1700
104,01.02.2015,Übertrag Anteil von Claude,2500
105,01.02.2015,Übertrag Anteil von Claude,2500
